V0,V1,V7,V14,V28,time_cure
5.519139432,2.355300326,-0.426927147,-3.668728675,-10.15233173,6.08
7.21720209,5.944003683,3.818186338,1.339367175,-3.61827115,17.79
5.503152843,4.281758643,2.986215303,1.474748113,-1.548186266,20.83
5.840651871,4.288226073,3.178193756,1.883163375,-0.706897388,24.18
6.761059401,5.149563893,2.280587325,-1.066490126,-7.760645027,11.77
5.923674235,4.797528243,3.897644034,2.848302358,0.749619008,33.01
5.179728376,3.063323449,1.677664689,0.061587391,-3.170567204,14.27
7.427689326,4.917842885,2.139775854,-1.10014778,-7.579995049,11.63
6.760801833,5.16822175,3.1692188,0.837048869,-3.827290995,16.52
5.324301986,3.791162421,0.788166543,-2.715327816,-9.722316533,8.58
5.41936912,3.866241274,1.618440872,-0.99822438,-6.231554885,11.33
6.213632088,4.097402847,1.820970229,-0.834259735,-6.144719661,11.81
5.943925991,3.79926543,0.063132942,-4.295618072,-13.0131201,7.11
5.226000889,3.788747143,1.734863316,-0.661309614,-5.453655474,12.07
5.018010358,3.476913114,0.054657904,-3.937972466,-11.92323321,7.1
6.419863675,3.934132145,1.017793321,-2.384601898,-9.189392335,9.1
6.328904311,5.139580705,3.559580325,1.720850505,-1.956609135,20.56
5.513878942,3.201440228,2.096592717,0.809868952,-1.76357858,18.41
6.413793816,4.634703439,3.938801567,3.126917441,1.503149189,40.96
6.916005716,5.638695378,3.633562353,1.294908161,-3.382400223,17.88
6.018775895,4.02984129,2.367102658,0.427241615,-3.452480471,15.55
5.137518711,3.828060193,2.563250282,1.088440654,-1.861178604,19.17
7.371104545,5.990134398,3.768675733,1.184070218,-3.985140812,17.21
6.304832575,5.081223901,3.760437253,2.221952891,-0.855015832,24.11
5.890065725,3.737167765,0.044590545,-4.263415029,-12.87942618,7.08
6.107025459,4.315045758,3.199941163,1.90284257,-0.691354618,24.27
5.486872315,3.927454771,3.604283225,3.227249864,2.473183142,73.92
6.141952594,4.973508683,3.929839772,2.712226045,0.276998591,29.6
7.228969223,6.093861253,5.615237721,5.056850515,3.940076101,77.4
6.248840783,4.614981646,1.849954146,-1.375911259,-7.827642068,11.02
6.769139469,4.952774012,1.457354928,-2.620620841,-10.77657238,9.51
6.040254152,4.504473252,1.619753586,-1.745747894,-8.476750854,10.37
6.564802498,4.655705851,1.546723274,-2.054133611,-9.255847382,10.01
6.971321747,5.670751765,2.976458511,-0.153080454,-6.412158386,13.66
7.037893886,5.597764837,3.147626514,0.289131808,-5.427857604,14.71
6.909117929,5.599850859,3.644649486,1.363846609,-3.197759146,18.19
6.450718605,4.695782491,4.260886699,3.753517707,2.738779721,65.79
7.290085779,5.942780619,5.42659193,4.82437187,3.619931749,70.08
7.398167665,5.682981006,2.753567025,-0.662462897,-7.494522741,12.65
6.078394466,4.402895242,2.241973194,-0.277454509,-5.316309915,13.23
5.941688712,4.366840535,0.901633379,-3.140995641,-11.22625368,8.57
5.36312111,3.798544303,0.884540853,-2.515129822,-9.314471173,8.83
5.035401692,2.654757656,-0.13070172,-3.380345568,-9.879633266,6.72
5.557147491,4.064188687,3.089161877,1.97322021,-0.258663124,26.38
7.019749535,4.494918101,1.305213984,-2.416102328,-9.85873495,9.46
6.285662892,4.868100756,3.512765264,1.931541731,-1.230905335,22.56
5.583075447,4.115922746,0.910374417,-2.829230745,-10.30844107,8.71
7.177162799,4.757829656,2.838671324,0.5996535,-3.878382149,15.88
5.716516136,4.235243172,2.048742506,-0.498777234,-5.593816712,12.63
7.394834899,5.142156498,3.619306298,1.842682615,-1.71056475,21.27
5.812602885,4.59406495,3.742069917,2.748083536,0.760110774,33.36
5.871222669,4.172694943,1.939920371,-0.652649948,-5.837790587,12.24
6.682960272,5.324813752,4.983433833,4.585157266,3.788604132,94.59
7.334056917,6.182321963,5.094687099,3.825956285,1.288494659,35.11
5.3954934,3.039342984,0.971476699,-1.441033933,-6.266055196,9.82
7.336146364,5.976883578,4.417052225,2.597248986,-1.042357494,24
7.456454523,5.917738607,3.646737394,0.997236014,-4.301766746,16.64
5.127217697,3.582559598,1.43701561,-1.066109722,-6.072360386,11.02
6.487779014,4.552667002,4.255611719,3.909047643,3.215919491,92.96
6.330595607,5.206581974,4.878328369,4.496109038,3.731670375,96.35
6.175082048,4.52913813,2.396114057,-0.092333422,-5.069228378,13.75
5.512613575,4.169194396,1.570579528,-1.447480094,-7.48359934,10.65
7.38670647,4.802771914,2.343629522,-0.525368615,-6.263364888,12.72
6.857646063,5.778778011,5.350185093,4.850162366,3.850116913,81.9
6.489211736,5.25438799,4.846213333,4.370009769,3.417602639,78.24
6.786652654,5.54245739,5.046031433,4.485502321,3.364444098,70.02
6.509695838,4.858028796,2.542270586,-0.159445436,-5.562877481,13.59
5.482124469,4.256949192,3.632353116,2.907392465,1.457471162,42.08
5.920339405,4.496656002,2.195873426,-0.481167737,-5.835250063,12.75
7.40732461,4.505636766,3.912666653,3.222583104,1.842416007,46.69
5.445563954,3.643537107,-0.011666712,-4.254781032,-12.74100967,6.99
6.532711211,5.002670178,4.433338955,3.76911955,2.440680739,53.73
6.417193985,3.128090884,1.755242092,0.153616467,-3.049634785,14.68
5.107436324,1.44316381,-1.435132404,-4.79279551,-11.50812172,4.01
7.32801382,5.937199039,3.123857566,-0.157908706,-6.72144125,13.67
5.438808628,3.492694619,0.936470543,-2.034580237,-7.976681795,9.21
5.859110118,3.78295635,2.155438768,0.257867784,-3.537274184,14.96
7.267612835,5.661843314,5.01769456,4.274522249,2.788177627,54.27
6.781389833,5.402778306,4.798728911,4.094004687,2.684556237,54.67
6.452174866,4.067803016,2.461624182,0.601290784,-3.119376013,16.27
6.756665671,5.343563376,2.681287042,-0.399747618,-6.561816938,13.1
6.299064168,4.23656777,2.597456658,0.685216714,-3.139263175,16.51
5.188698082,3.864327374,3.439170952,2.94315592,1.951125858,55.54
6.003323577,4.105132811,3.103443586,1.934806431,-0.40246788,25.59
5.899585476,3.174795636,-0.483616642,-3.458366837,-9.407867227,5.87
6.28611751,4.705994352,1.618134734,-1.984254174,-9.189031989,10.15
5.031892891,3.638012087,1.670635014,-0.624637211,-5.21518166,12.1
5.442688945,3.976103344,1.707121865,-0.940023189,-6.234313299,11.52
6.201910023,4.737149662,2.839932476,0.626515806,-3.800317534,15.99
7.138515519,5.109966985,4.297306291,3.349202884,1.452996069,38.73
7.054428538,4.877543578,1.52497129,-2.386362945,-10.20903142,9.73
6.916556402,5.387363661,2.337940214,-1.219720046,-8.335040565,11.6
6.994430453,5.486842821,2.762927699,-0.414972002,-6.770771405,13.09
5.0034794,2.995744752,-0.74952346,-5.118400257,-13.85615385,5.8
6.496076843,4.918546435,3.497903212,1.845057489,-1.460633957,21.82
6.127759311,4.690465251,3.878614335,2.931456267,1.037140133,35.67
6.514388804,4.597544096,1.699313559,-1.681955381,-8.444493263,10.52
5.187538658,3.529100532,0.840690109,-2.280246307,-8.522119139,8.89
7.1500102,5.643674265,3.892324033,1.849096294,-2.237359183,20.34
5.731140703,4.508424079,4.198928216,3.837849753,3.115692826,88.41
5.342443776,3.769196636,0.336334949,-3.668670333,-11.6786809,7.59
6.338125697,5.097301475,3.636747259,1.932767353,-1.47519246,21.94
6.992150437,5.928996425,5.493725557,4.985937767,3.970362188,82.74
5.613781131,3.94406617,3.155036343,2.234674424,0.393950586,31
7.036902708,5.192126344,1.57745751,-2.639607016,-11.07373607,9.62
7.134936242,5.379396055,1.927886652,-2.098865634,-10.1523702,10.36
6.632783154,4.807167571,2.498943885,-0.193983739,-5.579838985,13.5
6.309991833,4.80064707,1.873751343,-1.540960285,-8.370383541,10.85
7.215218231,4.751981783,1.318848724,-2.669505968,-10.64621535,9.32
6.741055612,5.080792739,2.419836688,-0.684610545,-6.89350501,12.46
6.840437749,3.908781766,1.340605264,-1.65557498,-7.647935468,10.14
6.801073798,5.058001694,2.245950221,-1.034776234,-7.596229144,11.8
7.332751497,5.355920418,3.214353814,0.716165454,-4.280211266,16.01
5.26385018,2.888539594,-0.566707977,-4.597829865,-12.66007364,6.02
6.38803295,4.734251642,1.356196311,-2.584868231,-10.46699731,9.41
5.449842134,3.816388213,2.262237424,0.449061523,-3.17729028,15.74
6.90880053,5.691349181,5.056856123,4.31661423,2.836130444,54.82
5.47562513,3.577006105,1.136906841,-1.706168862,-7.392320268,9.8
6.47128819,5.030898914,2.404845433,-0.658881225,-6.786334541,12.5
5.319916303,3.82558907,1.098834328,-2.082376791,-8.44479903,9.42
5.449894189,3.57934223,1.27439958,-1.414698137,-6.792893571,10.32
7.044047,4.697018296,1.329608084,-2.599024875,-10.45629079,9.37
5.449400486,3.692702162,2.261588636,0.611009003,-2.690150264,16.6
5.129775852,3.061085613,0.512978811,-2.459807143,-8.405379052,8.21
5.320351923,3.934483054,2.36119705,0.525858387,-3.144818939,16.01
7.022332511,5.206882413,1.746172277,-2.291317431,-10.36629685,10.03
5.157986822,3.832387009,2.672717424,1.319935711,-1.385627713,20.83
7.091582106,5.089300468,3.195880679,0.986892117,-3.431085008,17.13
6.810109027,5.573004079,4.72440884,3.734381108,1.754325645,40.41
5.349202784,3.748779182,0.662536501,-2.902579563,-10.03281169,8.31
5.044292382,3.539511874,1.529922354,-0.814597515,-5.503637254,11.57
5.384764701,4.071363755,2.859994069,1.452058083,-1.36381389,21.22
6.649807832,5.201438007,2.640909791,-0.346274022,-6.320641648,13.19
6.608603136,5.097442112,4.294831525,3.365825925,1.507814726,39.37
5.37466431,2.766261072,1.315020754,-0.275832688,-3.457539572,12.79
6.514374673,4.737024149,1.974729551,-1.247943784,-7.693290454,11.29
6.223153841,4.650122417,2.233309603,-0.586305288,-6.225535072,12.55
6.799188518,5.610310067,5.31993912,4.981173482,4.303642204,116.93
5.764291032,3.776912849,3.260577537,2.682648008,1.526788952,46.5
5.30420253,3.212926348,-0.248353694,-4.286360688,-12.36237468,6.57
5.726538367,4.10519596,1.145524688,-2.307425122,-9.213324743,9.33
6.36357484,4.727480259,3.52298938,2.118863725,-0.689387586,24.57
5.279207289,3.27170322,-0.415866573,-4.701727811,-13.27345029,6.33
5.274662289,3.691965146,2.524134408,1.161665394,-1.563272634,19.97
5.525926068,4.419294525,3.801600852,3.080958328,1.639673281,43.93
5.7273553,3.169086202,-0.321614887,-4.394097068,-12.53906143,6.45
5.360564807,4.100895984,2.126750517,-0.167901579,-4.757205771,13.49
7.155440828,5.636888723,3.699031929,1.438214474,-3.083420438,18.46
